Raw data assessment,Automated report phrasing
Bifurcation - assessment limited by E and/or C,Assessment of bifurcation was limited by epiphytes and/or climbers
Cavity @ bifurcation,Cavity at bifurcation
Climbers - covering crown,Climbers were overgrown and covering the tree crown
Climbers in crown,Climbers were observed in the crown
Climbers on tree,Climbers were observed on the tree
Decay @ bifurcation,Decay at bifurcation
Dieback - major,Major dieback observed
Dieback - minor,Minor dieback observed
EDW @ trunk,Exposed dead wood at trunk
EDW @tree base,Exposed dead wood at tree base
EDW at trunk,Exposed deadwood on trunk
EDW with decay @ bifurcation,Exposed dead wood with decay at bifurcation
EDW with decay @ tree base,Exposed dead wood with decay at tree base
EDW with decay @ trunk,Exposed dead wood with decay at trunk
Fruiting body(s) @ tree base,Fruiting body(s) at tree base
Lifting - gap between soil and tension root(s),Signs of uplifting. Gap observed between soil and tension root(s)
Low LCR,Low live crown ratio
Major girdling root(s),Major girdling of root(s)
No defects,No significant structural defects were observed at the point of inspection
Open cavity @ tree base,Open cavity at tree base
Open cavity @ trunk,Open cavity @ trunk
Tree - assessment limited by canopy of other trees,Assessment of tree was limited by canopies of other trees
Tree - assessment limited by E and/or C,Assessment of tree was limited by epiphytes and/or climbers
Tree base - assessment limited by undergrowth and/or debris,Assessment of tree base was limited by undergrowth and/or debris
Trunk - assessment limited by E and/or C,Assessment of trunk was limited by epiphytes and/or climbers
Limited access. ,Limited access
