FolderSpeciesName,ScientificName,CallType,FreqType,Family,Common.name,CITES.status,Global.status..IUCN.,National.status,Native.Status..Yes.No.for.Status.Matrix.,Higher.global.or.national.threatened.status,Threatened,Distribution.Abundance.Rarity,Native.status..Primary.native.status.for.birds.,Remarks
myotis adversus,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,Myotis adversus combine with Myotis horsfieldii
ma,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,Myotis adversus combine with Myotis horsfieldii
myotis horsfieldii,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
_myotis horsfieldii,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
mh,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
mh.1,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
mh.10,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
mh.11,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
mh.12,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
mh.13,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
mh.14,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
mh.15,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
mh.16,Myotis horsfieldii,,FMqCF,Vespertilionidae ,Horsfield's myotis,Not Listed,Least Concern,Least Concern,Yes,NA,No,NA,Native,
